CG_ID,label,description
14001,RO,Read Only
14002,RO,Read Only
14003,Not Specified,Not Specified
14004,AR,Not Specified
14005,MD,Not Specified
14006,MD,Not Specified
14007,MD,Read Only
14008,RO,Read Only
14009,MDs,Not Specified
14010,MDs,Resident/Fellow/PA/NP
14011,RO,Read Only
14012,MedSt,Not Specified
14013,RO,Read Only
14014,RO,Read Only
14015,RO,Read Only
14016,RO,Read Only
14017,MD,Not Specified
14018,RO,Read Only
14019,Res,Resident/Fellow/PA/NP
14020,RN,Not Specified
14021,Res,Resident/Fellow/PA/NP
14022,Res,Resident/Fellow/PA/NP
14023,RN,RN
14024,MD,Attending
14025,MD,Not Specified
14026,MDs,Not Specified
14027,Res,Resident/Fellow/PA/NP
14028,Res,Resident/Fellow/PA/NP
14029,MD,Not Specified
14030,RO,Read Only
14031,RO,Read Only
14032,MD,Read Only
14033,RT,Respiratory
14034,Res,Resident/Fellow/PA/NP
14035,RO,Read Only
14036,RO,Read Only
14037,PHD,Attending
14038,Res,Resident/Fellow/PA/NP
14039,RO,Read Only
14040,MD,Not Specified
14041,MD,Not Specified
14042,RO,Read Only
14043,MD,Not Specified
14044,RO,Read Only
14045,MD,Attending
14046,RO,Read Only
14047,RO,Read Only
14048,RO,Read Only
14049,MD,Not Specified
14050,MD,Not Specified
14051,MD,Not Specified
14052,MD,Not Specified
14053,RO,Read Only
14054,MD,Resident/Fellow/PA/NP
14055,MD,Not Specified
14056,MDs,Resident/Fellow/PA/NP
14057,MD,Not Specified
14058,Dr,Read Only
14059,RO,Read Only
14060,RO,Read Only
14061,MD,Read Only
14062,MD,Not Specified
14063,Res,Resident/Fellow/PA/NP
14064,RO,Read Only
14065,MD,Not Specified
14066,RO,Read Only
14067,MD,Not Specified
14068,MD,Not Specified
14069,Rehab,Rehabilitation
14070,RO,Read Only
14071,RO,Read Only
14072,MD,Read Only
14073,MedStu,Not Specified
14074,RO,Read Only
14075,RO,Read Only
14076,RO,Read Only
14077,Not Specified,Not Specified
14078,RN,RN
14079,Res,Resident/Fellow/PA/NP
14080,MD,Attending
14081,SW,Social Worker
14082,RO,Read Only
14083,RT,Respiratory
14084,RN,RN
14085,Res,Resident/Fellow/PA/NP
14086,Res,Resident/Fellow/PA/NP
14087,Res,Resident/Fellow/PA/NP
14088,RO,Read Only
14089,Res,Resident/Fellow/PA/NP
14090,Res,Resident/Fellow/PA/NP
14091,MDs,Resident/Fellow/PA/NP
14092,MedSt,Not Specified
14093,Res,Resident/Fellow/PA/NP
14094,RD,Dietitian
14095,RO,Read Only
14096,MD,Not Specified
14097,MD,Not Specified
14098,RN,Not Specified
14099,MD,Not Specified
14100,RO,Read Only
14101,RA,Read Only
14102,MD,Not Specified
14103,MD,Resident/Fellow/PA/NP
14104,Res,Resident/Fellow/PA/NP
14105,Fell,Resident/Fellow/PA/NP
14106,MD,Not Specified
