DATE_ID,DATE_VALUE,DAY,MONTH,YEAR,QUARTER,WEEK
21020831,2102-08-31,31,8,2102,3,35
21020901,2102-09-01,1,9,2102,3,35
21020902,2102-09-02,2,9,2102,3,35
21020903,2102-09-03,3,9,2102,3,36
21020904,2102-09-04,4,9,2102,3,36
21020905,2102-09-05,5,9,2102,3,36
21020906,2102-09-06,6,9,2102,3,36
21020907,2102-09-07,7,9,2102,3,36
21020908,2102-09-08,8,9,2102,3,36
21020909,2102-09-09,9,9,2102,3,36
21020910,2102-09-10,10,9,2102,3,37
21020911,2102-09-11,11,9,2102,3,37
21020912,2102-09-12,12,9,2102,3,37
21020913,2102-09-13,13,9,2102,3,37
21020914,2102-09-14,14,9,2102,3,37
21020915,2102-09-15,15,9,2102,3,37
21020916,2102-09-16,16,9,2102,3,37
21020917,2102-09-17,17,9,2102,3,38
21020918,2102-09-18,18,9,2102,3,38
21020919,2102-09-19,19,9,2102,3,38
21020920,2102-09-20,20,9,2102,3,38
21020921,2102-09-21,21,9,2102,3,38
21020922,2102-09-22,22,9,2102,3,38
21020923,2102-09-23,23,9,2102,3,38
21020924,2102-09-24,24,9,2102,3,39
21020925,2102-09-25,25,9,2102,3,39
21020926,2102-09-26,26,9,2102,3,39
21020927,2102-09-27,27,9,2102,3,39
21020928,2102-09-28,28,9,2102,3,39
21020929,2102-09-29,29,9,2102,3,39
21020930,2102-09-30,30,9,2102,3,39
21021001,2102-10-01,1,10,2102,4,40
21021002,2102-10-02,2,10,2102,4,40
21021003,2102-10-03,3,10,2102,4,40
21021004,2102-10-04,4,10,2102,4,40
21021005,2102-10-05,5,10,2102,4,40
21021006,2102-10-06,6,10,2102,4,40
21021007,2102-10-07,7,10,2102,4,40
21021008,2102-10-08,8,10,2102,4,41
21021009,2102-10-09,9,10,2102,4,41
21021010,2102-10-10,10,10,2102,4,41
21021011,2102-10-11,11,10,2102,4,41
21021012,2102-10-12,12,10,2102,4,41
21021013,2102-10-13,13,10,2102,4,41
21021014,2102-10-14,14,10,2102,4,41
21021015,2102-10-15,15,10,2102,4,42
21021016,2102-10-16,16,10,2102,4,42
21021017,2102-10-17,17,10,2102,4,42
21021018,2102-10-18,18,10,2102,4,42
21021019,2102-10-19,19,10,2102,4,42
21021020,2102-10-20,20,10,2102,4,42
21021021,2102-10-21,21,10,2102,4,42
21021022,2102-10-22,22,10,2102,4,43
21021023,2102-10-23,23,10,2102,4,43
21021024,2102-10-24,24,10,2102,4,43
21021025,2102-10-25,25,10,2102,4,43
21021026,2102-10-26,26,10,2102,4,43
21021027,2102-10-27,27,10,2102,4,43
21021028,2102-10-28,28,10,2102,4,43
21021029,2102-10-29,29,10,2102,4,44
21021030,2102-10-30,30,10,2102,4,44
21021031,2102-10-31,31,10,2102,4,44
21021101,2102-11-01,1,11,2102,4,44
21021102,2102-11-02,2,11,2102,4,44
21021103,2102-11-03,3,11,2102,4,44
21021104,2102-11-04,4,11,2102,4,44
21021105,2102-11-05,5,11,2102,4,45
21021106,2102-11-06,6,11,2102,4,45
21021107,2102-11-07,7,11,2102,4,45
21021108,2102-11-08,8,11,2102,4,45
21021109,2102-11-09,9,11,2102,4,45
21021110,2102-11-10,10,11,2102,4,45
21021111,2102-11-11,11,11,2102,4,45
21021112,2102-11-12,12,11,2102,4,46
21021113,2102-11-13,13,11,2102,4,46
21021114,2102-11-14,14,11,2102,4,46
21021115,2102-11-15,15,11,2102,4,46
21021116,2102-11-16,16,11,2102,4,46
21021117,2102-11-17,17,11,2102,4,46
21021118,2102-11-18,18,11,2102,4,46
21021119,2102-11-19,19,11,2102,4,47
21021120,2102-11-20,20,11,2102,4,47
21021121,2102-11-21,21,11,2102,4,47
21021122,2102-11-22,22,11,2102,4,47
21021123,2102-11-23,23,11,2102,4,47
21021124,2102-11-24,24,11,2102,4,47
21021125,2102-11-25,25,11,2102,4,47
21021126,2102-11-26,26,11,2102,4,48
21021127,2102-11-27,27,11,2102,4,48
21021128,2102-11-28,28,11,2102,4,48
21021129,2102-11-29,29,11,2102,4,48
21021130,2102-11-30,30,11,2102,4,48
21021201,2102-12-01,1,12,2102,4,48
21021202,2102-12-02,2,12,2102,4,48
21021203,2102-12-03,3,12,2102,4,49
21021204,2102-12-04,4,12,2102,4,49
21021205,2102-12-05,5,12,2102,4,49
21021206,2102-12-06,6,12,2102,4,49
21021207,2102-12-07,7,12,2102,4,49
21021208,2102-12-08,8,12,2102,4,49
21021209,2102-12-09,9,12,2102,4,49
21021210,2102-12-10,10,12,2102,4,50
21021211,2102-12-11,11,12,2102,4,50
21021212,2102-12-12,12,12,2102,4,50
21021213,2102-12-13,13,12,2102,4,50
21021214,2102-12-14,14,12,2102,4,50
21021215,2102-12-15,15,12,2102,4,50
21021216,2102-12-16,16,12,2102,4,50
21021217,2102-12-17,17,12,2102,4,51
21021218,2102-12-18,18,12,2102,4,51
21021219,2102-12-19,19,12,2102,4,51
21021220,2102-12-20,20,12,2102,4,51
21021221,2102-12-21,21,12,2102,4,51
21021222,2102-12-22,22,12,2102,4,51
21021223,2102-12-23,23,12,2102,4,51
21021224,2102-12-24,24,12,2102,4,52
21021225,2102-12-25,25,12,2102,4,52
21021226,2102-12-26,26,12,2102,4,52
21021227,2102-12-27,27,12,2102,4,52
21021228,2102-12-28,28,12,2102,4,52
21021229,2102-12-29,29,12,2102,4,52
21021230,2102-12-30,30,12,2102,4,52
21021231,2102-12-31,31,12,2102,4,53
21030101,2103-01-01,1,1,2103,1,1
21030102,2103-01-02,2,1,2103,1,1
21030103,2103-01-03,3,1,2103,1,1
21030104,2103-01-04,4,1,2103,1,1
21030105,2103-01-05,5,1,2103,1,1
21030106,2103-01-06,6,1,2103,1,1
21030107,2103-01-07,7,1,2103,1,2
21030108,2103-01-08,8,1,2103,1,2
21030109,2103-01-09,9,1,2103,1,2
21030110,2103-01-10,10,1,2103,1,2
21030111,2103-01-11,11,1,2103,1,2
21030112,2103-01-12,12,1,2103,1,2
21030113,2103-01-13,13,1,2103,1,2
21030114,2103-01-14,14,1,2103,1,3
21030115,2103-01-15,15,1,2103,1,3
21030116,2103-01-16,16,1,2103,1,3
21030117,2103-01-17,17,1,2103,1,3
21030118,2103-01-18,18,1,2103,1,3
21030119,2103-01-19,19,1,2103,1,3
21030120,2103-01-20,20,1,2103,1,3
21030121,2103-01-21,21,1,2103,1,4
21030122,2103-01-22,22,1,2103,1,4
21030123,2103-01-23,23,1,2103,1,4
21030124,2103-01-24,24,1,2103,1,4
21030125,2103-01-25,25,1,2103,1,4
21030126,2103-01-26,26,1,2103,1,4
21030127,2103-01-27,27,1,2103,1,4
21030128,2103-01-28,28,1,2103,1,5
21030129,2103-01-29,29,1,2103,1,5
21030130,2103-01-30,30,1,2103,1,5
21030131,2103-01-31,31,1,2103,1,5
21030201,2103-02-01,1,2,2103,1,5
21030202,2103-02-02,2,2,2103,1,5
21030203,2103-02-03,3,2,2103,1,5
21030204,2103-02-04,4,2,2103,1,6
21030205,2103-02-05,5,2,2103,1,6
21030206,2103-02-06,6,2,2103,1,6
21030207,2103-02-07,7,2,2103,1,6
21030208,2103-02-08,8,2,2103,1,6
21030209,2103-02-09,9,2,2103,1,6
21030210,2103-02-10,10,2,2103,1,6
21030211,2103-02-11,11,2,2103,1,7
21030212,2103-02-12,12,2,2103,1,7
21030213,2103-02-13,13,2,2103,1,7
21030214,2103-02-14,14,2,2103,1,7
21030215,2103-02-15,15,2,2103,1,7
21030216,2103-02-16,16,2,2103,1,7
21030217,2103-02-17,17,2,2103,1,7
21030218,2103-02-18,18,2,2103,1,8
21030219,2103-02-19,19,2,2103,1,8
21030220,2103-02-20,20,2,2103,1,8
21030221,2103-02-21,21,2,2103,1,8
21030222,2103-02-22,22,2,2103,1,8
21030223,2103-02-23,23,2,2103,1,8
21030224,2103-02-24,24,2,2103,1,8
21030225,2103-02-25,25,2,2103,1,9
21030226,2103-02-26,26,2,2103,1,9
21030227,2103-02-27,27,2,2103,1,9
21030228,2103-02-28,28,2,2103,1,9
21030301,2103-03-01,1,3,2103,1,9
21030302,2103-03-02,2,3,2103,1,9
21030303,2103-03-03,3,3,2103,1,9
21030304,2103-03-04,4,3,2103,1,10
21030305,2103-03-05,5,3,2103,1,10
21030306,2103-03-06,6,3,2103,1,10
21030307,2103-03-07,7,3,2103,1,10
21030308,2103-03-08,8,3,2103,1,10
21030309,2103-03-09,9,3,2103,1,10
21030310,2103-03-10,10,3,2103,1,10
21030311,2103-03-11,11,3,2103,1,11
21030312,2103-03-12,12,3,2103,1,11
21030313,2103-03-13,13,3,2103,1,11
21030314,2103-03-14,14,3,2103,1,11
21030315,2103-03-15,15,3,2103,1,11
21030316,2103-03-16,16,3,2103,1,11
21030317,2103-03-17,17,3,2103,1,11
21030318,2103-03-18,18,3,2103,1,12
21030319,2103-03-19,19,3,2103,1,12
21030320,2103-03-20,20,3,2103,1,12
21030321,2103-03-21,21,3,2103,1,12
21030322,2103-03-22,22,3,2103,1,12
21030323,2103-03-23,23,3,2103,1,12
21030324,2103-03-24,24,3,2103,1,12
21030325,2103-03-25,25,3,2103,1,13
21030326,2103-03-26,26,3,2103,1,13
21030327,2103-03-27,27,3,2103,1,13
21030328,2103-03-28,28,3,2103,1,13
21030329,2103-03-29,29,3,2103,1,13
21030330,2103-03-30,30,3,2103,1,13
21030331,2103-03-31,31,3,2103,1,13
21030401,2103-04-01,1,4,2103,2,14
21030402,2103-04-02,2,4,2103,2,14
21030403,2103-04-03,3,4,2103,2,14
21030404,2103-04-04,4,4,2103,2,14
21030405,2103-04-05,5,4,2103,2,14
21030406,2103-04-06,6,4,2103,2,14
21030407,2103-04-07,7,4,2103,2,14
21030408,2103-04-08,8,4,2103,2,15
21030409,2103-04-09,9,4,2103,2,15
21030410,2103-04-10,10,4,2103,2,15
21030411,2103-04-11,11,4,2103,2,15
21030412,2103-04-12,12,4,2103,2,15
21030413,2103-04-13,13,4,2103,2,15
21030414,2103-04-14,14,4,2103,2,15
21030415,2103-04-15,15,4,2103,2,16
21030416,2103-04-16,16,4,2103,2,16
21030417,2103-04-17,17,4,2103,2,16
21030418,2103-04-18,18,4,2103,2,16
21030419,2103-04-19,19,4,2103,2,16
21030420,2103-04-20,20,4,2103,2,16
21030421,2103-04-21,21,4,2103,2,16
21030422,2103-04-22,22,4,2103,2,17
21030423,2103-04-23,23,4,2103,2,17
21030424,2103-04-24,24,4,2103,2,17
21030425,2103-04-25,25,4,2103,2,17
21030426,2103-04-26,26,4,2103,2,17
21030427,2103-04-27,27,4,2103,2,17
21030428,2103-04-28,28,4,2103,2,17
21030429,2103-04-29,29,4,2103,2,18
21030430,2103-04-30,30,4,2103,2,18
21030501,2103-05-01,1,5,2103,2,18
21030502,2103-05-02,2,5,2103,2,18
21030503,2103-05-03,3,5,2103,2,18
21030504,2103-05-04,4,5,2103,2,18
21030505,2103-05-05,5,5,2103,2,18
21030506,2103-05-06,6,5,2103,2,19
21030507,2103-05-07,7,5,2103,2,19
21030508,2103-05-08,8,5,2103,2,19
21030509,2103-05-09,9,5,2103,2,19
21030510,2103-05-10,10,5,2103,2,19
21030511,2103-05-11,11,5,2103,2,19
21030512,2103-05-12,12,5,2103,2,19
21030513,2103-05-13,13,5,2103,2,20
21030514,2103-05-14,14,5,2103,2,20
21030515,2103-05-15,15,5,2103,2,20
21030516,2103-05-16,16,5,2103,2,20
21030517,2103-05-17,17,5,2103,2,20
21030518,2103-05-18,18,5,2103,2,20
21030519,2103-05-19,19,5,2103,2,20
21030520,2103-05-20,20,5,2103,2,21
21030521,2103-05-21,21,5,2103,2,21
21030522,2103-05-22,22,5,2103,2,21
21030523,2103-05-23,23,5,2103,2,21
21030524,2103-05-24,24,5,2103,2,21
21030525,2103-05-25,25,5,2103,2,21
21030526,2103-05-26,26,5,2103,2,21
21030527,2103-05-27,27,5,2103,2,22
21030528,2103-05-28,28,5,2103,2,22
21030529,2103-05-29,29,5,2103,2,22
21030530,2103-05-30,30,5,2103,2,22
21030531,2103-05-31,31,5,2103,2,22
21030601,2103-06-01,1,6,2103,2,22
21030602,2103-06-02,2,6,2103,2,22
21030603,2103-06-03,3,6,2103,2,23
21030604,2103-06-04,4,6,2103,2,23
21030605,2103-06-05,5,6,2103,2,23
21030606,2103-06-06,6,6,2103,2,23
21030607,2103-06-07,7,6,2103,2,23
21030608,2103-06-08,8,6,2103,2,23
21030609,2103-06-09,9,6,2103,2,23
21030610,2103-06-10,10,6,2103,2,24
21030611,2103-06-11,11,6,2103,2,24
21030612,2103-06-12,12,6,2103,2,24
21030613,2103-06-13,13,6,2103,2,24
21030614,2103-06-14,14,6,2103,2,24
21030615,2103-06-15,15,6,2103,2,24
21030616,2103-06-16,16,6,2103,2,24
21030617,2103-06-17,17,6,2103,2,25
21030618,2103-06-18,18,6,2103,2,25
21030619,2103-06-19,19,6,2103,2,25
21030620,2103-06-20,20,6,2103,2,25
21030621,2103-06-21,21,6,2103,2,25
21030622,2103-06-22,22,6,2103,2,25
21030623,2103-06-23,23,6,2103,2,25
21030624,2103-06-24,24,6,2103,2,26
21030625,2103-06-25,25,6,2103,2,26
21030626,2103-06-26,26,6,2103,2,26
21030627,2103-06-27,27,6,2103,2,26
21030628,2103-06-28,28,6,2103,2,26
21030629,2103-06-29,29,6,2103,2,26
21030630,2103-06-30,30,6,2103,2,26
21030701,2103-07-01,1,7,2103,3,27
21030702,2103-07-02,2,7,2103,3,27
21030703,2103-07-03,3,7,2103,3,27
21030704,2103-07-04,4,7,2103,3,27
21030705,2103-07-05,5,7,2103,3,27
21030706,2103-07-06,6,7,2103,3,27
21030707,2103-07-07,7,7,2103,3,27
21030708,2103-07-08,8,7,2103,3,28
21030709,2103-07-09,9,7,2103,3,28
21030710,2103-07-10,10,7,2103,3,28
21030711,2103-07-11,11,7,2103,3,28
21030712,2103-07-12,12,7,2103,3,28
21030713,2103-07-13,13,7,2103,3,28
21030714,2103-07-14,14,7,2103,3,28
21030715,2103-07-15,15,7,2103,3,29
21030716,2103-07-16,16,7,2103,3,29
21030717,2103-07-17,17,7,2103,3,29
21030718,2103-07-18,18,7,2103,3,29
21030719,2103-07-19,19,7,2103,3,29
21030720,2103-07-20,20,7,2103,3,29
21030721,2103-07-21,21,7,2103,3,29
21030722,2103-07-22,22,7,2103,3,30
21030723,2103-07-23,23,7,2103,3,30
21030724,2103-07-24,24,7,2103,3,30
21030725,2103-07-25,25,7,2103,3,30
21030726,2103-07-26,26,7,2103,3,30
21030727,2103-07-27,27,7,2103,3,30
21030728,2103-07-28,28,7,2103,3,30
21030729,2103-07-29,29,7,2103,3,31
21030730,2103-07-30,30,7,2103,3,31
21030731,2103-07-31,31,7,2103,3,31
